Date,Team,Against,HomeAway,Odds,Player,Win
26/12/2024,Birmingham,Burton Albion,H,1.25,Alec,1
29/12/2024,Huddersfield,Burton Albion,H,1.4,Alec,0
04/01/2025,Barnsley,Crawley Town,H,1.42,Alec,1
26/12/2024,Huddersfield,Stockport,H,2.3,Bailey,1
29/12/2024,Leeds,Derby,A,1.62,Bailey,1
04/01/2025,Nottm Forest,Wolverhampton,A,2.3,Bailey,1
26/12/2024,Watford,Portsmouth,H,1.833333333,Ben,1
29/12/2024,Sunderland,Stoke,A,2.1,Ben,0
04/01/2025,Chelsea,Crystal Palace,A,1.95,Ben,0
26/12/2024,Leeds,Stoke,A,1.444444444,Doug,1
29/12/2024,Birmingham,Blackpool,H,1.45,Doug,0
04/01/2025,Leyton Orient,Shrewsbury,H,1.5,Doug,1
26/12/2024,Rochdale,AFC Fylde,A,1.909090909,Harry,1
29/12/2024,Nottm Forest,Everton,A,2.7,Harry,1
04/01/2025,Aston Villa,Leicester,H,1.33,Harry,1
26/12/2024,Nottm Forest,Tottenham,H,2.1,Hook,1
29/12/2024,Oxford Utd,Plymouth,H,1.8,Hook,1
04/01/2025,Sheff Wed,Millwall,H,2.25,Hook,0
26/12/2024,Wrexham,Blackpool,H,2.15,James,1
29/12/2024,Watford,Cardiff,H,1.73,James,0
04/01/2025,Birmingham,Wigan,A,1.85,James,1
26/12/2024,Chelsea,Fulham,H,1.48,Lee,0
29/12/2024,Fulham,Bournemouth,H,2.38,Lee,0
04/01/2025,Bournemouth,Everton,H,1.67,Lee,1
26/12/2024,Man Utd,Wolverhampton,A,1.8,Sam,0
29/12/2024,Liverpool,West Ham,A,1.36,Sam,1
04/01/2025,Man City,West Ham,H,1.29,Sam,1
26/12/2024,Rangers,St Mirren,A,1.4,Scuba,0
29/12/2024,Chelsea,Ipswich,A,1.4,Scuba,0
04/01/2025,Wrexham,Peterborough,H,1.53,Scuba,1
26/12/2024,Middlesborough,Sheff Wed,H,1.75,Welshy,0
29/12/2024,Blackburn,Hull,H,1.91,Welshy,0
04/01/2025,Brentford,Southampton,A,2.2,Welshy,1
